Gimnasio Domeyko-FCFM	FCFM	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-291
CEC, Zócalo, Zona D-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-305
SEM-EL		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-309
SEM. GEOF.		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-456
DCC, Sala Reuniones, Piso 3-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-459
DCC, Sala Reuniones B851 Nº320-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-460
Beaucheff 1225, Of. C-5		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-461
Sala Seminario, Edif.Electrotecnología, Piso 2-Edificio Eléctrica	Edificio Eléctrica	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-462
B01-Beauchef 851	Beauchef 851	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-464
Sala Laboratorio de Computación DCC, Piso 3-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-471
DII 23-Domeyko 2338 (DII)	Domeyko 2338 (DII)	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-475
Sala de Reuniones, Depto. BT-IQ		https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-477
Sala de Reuniones de la División Transporte - 5º piso DIC-Edificio Civil	Edificio Civil	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-479
Seminario Biblioteca 2º piso-BIBLIOTECA	BIBLIOTECA	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-2987
B001-Edificio Computación	Edificio Computación	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-2988
Laboratorio Introducción a la Ingeniería-Edificio Física	Edificio Física	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-2990
Laboratorio Microscopio-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-2991
Laboratorio Microscopio GL-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-2992
Laboratorio de Microscopio-Edificio Geología	Edificio Geología	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-2993
Lab. Proyectos-Edificio Química	Edificio Química	https://ucampus.uchile.cl/m/fcfm_eventos/objeto?objeto=sala-2995
